Polish Title,Original Title,Rating,Votes,Genre
Upadek,Falling Down1993,7.51,97937,typThriller
Batman - Początek,Batman Begins2005,7.51,357626,typAkcja/Sci-Fi
Czas na miłość,About Time2013,7.51,198032,typDramat/Fantasy/Komedia/Romans
Ostatnia rodzina,2016,7.51,127847,typBiograficzny
Sędzia,The Judge2014,7.51,163937,typDramat/Kryminał
Annie Hall,1977,7.51,62602,typKomedia obycz.
Czerwony smok,Red Dragon2002,7.51,252950,typThriller
Mama,Mommy2014,7.51,40353,typDramat
A teraz coś z zupełnie innej beczki,And Now for Something Completely Different1971,7.51,42758,typKomedia
Z dystansu,Detachment2011,7.51,53942,typDramat
Plan doskonały,Inside Man2006,7.51,152127,typSensacyjny/Thriller
Deadpool,2016,7.51,344790,typKomedia/Akcja/Sci-Fi
Duża ryba,Big Fish2003,7.51,102599,typDramat/Fantasy
Trzy kolory: Niebieski,1993,7.51,66769,typMelodramat/Psychologiczny
To właśnie miłość,Love Actually2003,7.5,258141,typKomedia rom./Świąteczny
Nóż w wodzie,1961,7.5,58101,typDramat/Psychologiczny
Nienawiść,La haine1995,7.5,42370,typDramat
Amator,1979,7.5,32648,typObyczajowy/Psychologiczny/Polityczny
Rękopis znaleziony w Saragossie,1964,7.5,31664,typDramat/Fantasy/Kostiumowy/Poetycki
Niebezpieczne związki,Dangerous Liaisons1988,7.5,50018,typKostiumowy/Melodramat
Krótki film o miłości,1988,7.5,43830,typDramat/Psychologiczny
Misery,1990,7.5,164878,typThriller
Zimna wojna,2018,7.5,131913,typMelodramat
Fortepian,The Piano1993,7.5,51562,typKostiumowy/Melodramat
Okręt,Das Boot1981,7.5,46556,typDramat/Wojenny
Dogville,2003,7.5,60453,typDramat/Thriller
Trzy kolory: Czerwony,Trois couleurs: Rouge1994,7.5,44059,typDramat/Psychologiczny
Hotel Ruanda,Hotel Rwanda2004,7.5,59618,typBiograficzny/Dramat
Mechanik,El Maquinista2004,7.5,136933,typDramat/Thriller
Piękna i Bestia,Beauty and the Beast1991,7.5,163073,typAnimacja/Familijny/Baśń
Czas zabijania,A Time to Kill1996,7.49,77619,typDramat
Amelia,Le fabuleux destin d'Amélie Poulain2001,7.49,264857,typDramat/Komedia rom.
Manchester by the Sea,2016,7.49,124721,typDramat
Underground,1995,7.49,38759,typDramat/Komedia/Wojenny
Bez mojej zgody,My Sister's Keeper2009,7.49,115384,typDramat obyczajowy
Memento,2000,7.49,194086,typKryminał/Thriller
Nie lubię poniedziałku,1971,7.49,106904,typKomedia obycz.
Fargo,1996,7.49,109207,typDramat/Thriller
Wesele,2004,7.49,217282,typDramat/Komedia
1917,2019,7.49,83616,typDramat/Wojenny
Siódma pieczęć,Det sjunde inseglet1957,7.49,52696,typDramat
Harry Potter i Insygnia Śmierci: Część I,Harry Potter and the Deathly Hallows: Part 12010,7.49,322258,typFamilijny/Fantasy/Przygodowy
Teoria wszystkiego,The Theory of Everything2014,7.49,224739,typBiograficzny/Dramat
Ocean's Eleven: Ryzykowna gra,Ocean's Eleven2001,7.49,230746,typKomedia kryminalna
Dzikie historie,Relatos salvajes2014,7.49,126980,typCzarna komedia
12 małp,Twelve Monkeys1995,7.49,217046,typDramat/Sci-Fi
Tajemnice Los Angeles,L.A. Confidential1997,7.49,79427,typKryminał/Thriller
Życie na podsłuchu,Das Leben der Anderen2006,7.49,46805,typDramat
Krucjata Bourne'a,The Bourne Supremacy2004,7.48,157648,typSensacyjny
Thelma i Louise,Thelma & Louise1991,7.48,74711,typDramat
Krwawy diament,Blood Diamond2006,7.48,264552,typDramat
